prov,DEPARTAMEN,PROVINCIA,income_2021,income_2025,chg_pct,nhh_min
2304,TACNA,TARATA,735.6735434182896,935.5145523392752,27.164359886102357,54.0
0902,HUANCAVELICA,ACOBAMBA,536.118927535375,681.9051450214233,27.192887622201862,104.0
1901,PASCO,PASCO,857.6471146046792,1092.7306920647388,27.41029188542401,433.0
0504,AYACUCHO,HUANTA,772.6156379683908,995.1802561436392,28.806641651790365,147.0
2106,PUNO,HUANCANE,660.699669745133,853.7695247276067,29.222029890971648,69.0
0215,ANCASH,PALLASCA,677.4289790013172,880.7373870237243,30.011767185119464,34.0
1506,LIMA,HUARAL,955.2550352632724,1243.8353941216396,30.20977102505753,237.0
0404,AREQUIPA,CASTILLA,1456.596564903814,1929.706825097979,32.48052834900148,70.0
0610,CAJAMARCA,SAN MARCOS,645.3243590642181,870.1442356437392,34.83827526757728,53.0
1606,LORETO,UCAYALI,577.8857892496903,781.551174582367,35.24318976542229,86.0
1605,LORETO,REQUENA,670.5245418464076,907.274966844112,35.308241566486195,77.0
0813,CUSCO,URUBAMBA,827.4229064800626,1135.208103295989,37.19805125111591,59.0
1509,LIMA,OYON,920.4597638624432,1276.041147554045,38.63084489424147,39.0
1607,LORETO,DATEM DEL MARAÑON,489.7837130680068,679.9767730435947,38.8320507401559,74.0
1206,JUNIN,SATIPO,757.2798584711102,1055.8784099440593,39.43040979272796,219.0
0406,AREQUIPA,CONDESUYOS,1062.4042254090346,1484.912950340972,39.76911187163887,23.0
2103,PUNO,CARABAYA,515.9055308446694,723.7230932719239,40.282096237077326,49.0
0203,ANCASH,ANTONIO RAYMONDI,682.6665596705084,962.0989299963296,40.93248253740309,20.0
2113,PUNO,YUNGUYO,517.2977329804222,735.0970538832058,42.10328153729344,34.0
0810,CUSCO,PARURO,692.6702478864943,990.4621086153084,42.991865413225085,39.0
2502,UCAYALI,ATALAYA,668.2791480707817,956.7794304782068,43.170624617015285,128.0
0104,AMAZONAS,CONDORCANQUI,530.6975058808475,763.6998229977169,43.90492032370379,99.0
0303,APURIMAC,ANTABAMBA,852.2704681976055,1266.393417697485,48.59055487111653,43.0
1209,JUNIN,CHUPACA,922.0604386272124,1370.446447810538,48.6287005058903,62.0
0508,AYACUCHO,PAUCAR DEL SARA SARA,1240.8236184612742,1881.448401712847,51.62899655681936,29.0
0613,CAJAMARCA,SANTA CRUZ,590.7214818136806,906.544617415894,53.46396657737038,50.0
0213,ANCASH,MARISCAL LUZURIAGA,707.6035184918944,1087.716465004862,53.71835167285448,30.0
2204,SAN MARTIN,HUALLAGA,1055.0176673279962,1623.682661990853,53.90099258746002,50.0
2206,SAN MARTIN,MARISCAL CACERES,807.6335660664772,1244.2747167468926,54.06426491249561,77.0
0811,CUSCO,PAUCARTAMBO,669.413603025952,1033.8802770237896,54.44566294296052,43.0
1004,HUANUCO,HUACAYBAMBA,581.4858723609074,945.3007410851596,62.56641580080304,30.0
2203,SAN MARTIN,EL DORADO,674.479502164144,1205.245607028863,78.69269609553677,64.0
1604,LORETO,MARISCAL RAMON CASTILLA,503.378026901236,915.0326424822326,81.77842368589606,93.0
0407,AREQUIPA,ISLAY,1366.644894955242,2496.005473718834,82.63745636722834,49.0
0209,ANCASH,CORONGO,646.6503074833362,1183.0005152426108,82.94285204110818,8.0
1303,LA LIBERTAD,BOLIVAR,317.19695977149195,629.4607986960847,98.44477675622964,8.0
2109,PUNO,MOHO,595.5181253271548,1187.183837443045,99.35309891547828,27.0
