pk,hh,trust_share,edad,mujer,educ_anios,sis,ocupado,ipcr_0,factor07,pobre,juntos,pension65,transfer
0154950331101,01549503311,0.047619047619047616,87.0,1.0,0.0,1.0,1.0,566.9737461293395,161.44622802734375,0.0,0.0,1.0,1.0
0154951351101,01549513511,0.0,50.0,1.0,0.0,1.0,1.0,1552.738841623881,161.44622802734375,0.0,0.0,0.0,1.0
0154951361101,01549513611,0.09523809523809523,69.0,0.0,6.0,1.0,1.0,1076.5473989808481,161.44622802734375,1.0,0.0,1.0,1.0
0154951371101,01549513711,0.0,73.0,1.0,0.0,1.0,1.0,507.49716377428234,161.44622802734375,1.0,0.0,1.0,1.0
0155010171101,01550101711,0.09523809523809523,71.0,0.0,0.0,1.0,1.0,719.969978218489,161.44622802734375,0.0,0.0,1.0,1.0
0155010181101,01550101811,0.047619047619047616,77.0,1.0,3.0,1.0,1.0,968.9517666538954,161.44622802734375,0.0,0.0,1.0,1.0
0155011041101,01550110411,0.09523809523809523,83.0,0.0,6.0,1.0,1.0,1018.7284330950605,161.44622802734375,0.0,0.0,1.0,1.0
0155130121101,01551301211,0.6666666666666666,48.0,0.0,11.0,0.0,1.0,1191.7125521391329,161.44622802734375,0.0,1.0,0.0,1.0
0155130231101,01551302311,0.0,74.0,1.0,3.0,1.0,1.0,422.1619425419547,161.44622802734375,1.0,0.0,1.0,1.0
0155130681101,01551306811,0.0,60.0,0.0,14.0,0.0,1.0,780.4744115422494,161.44622802734375,0.0,0.0,0.0,0.0
0155131021101,01551310211,0.14285714285714285,90.0,1.0,0.0,1.0,1.0,906.5766515992515,161.44622802734375,0.0,0.0,1.0,1.0
0155270561101,01552705611,0.6666666666666666,47.0,1.0,14.0,0.0,1.0,2444.88296464859,32.61547088623047,0.0,0.0,0.0,0.0
0155271001101,01552710011,0.14285714285714285,52.0,0.0,19.0,0.0,0.0,5023.6351598024885,32.61547088623047,0.0,0.0,0.0,0.0
0155271431101,01552714311,0.0,44.0,1.0,14.0,1.0,1.0,621.1332880755522,32.61547088623047,0.0,0.0,0.0,1.0
0155450281101,01554502811,0.0,41.0,0.0,11.0,0.0,1.0,592.3139397387267,284.9785461425781,1.0,1.0,0.0,1.0
0155450401101,01554504011,0.047619047619047616,32.0,1.0,13.0,1.0,1.0,648.7084642314461,284.9785461425781,0.0,0.0,0.0,1.0
0155450521101,01554505211,0.23809523809523808,40.0,0.0,11.0,0.0,1.0,2057.299022265753,284.9785461425781,0.0,0.0,0.0,0.0
0155450861101,01554508611,0.0,49.0,1.0,11.0,1.0,1.0,353.97422613348505,284.9785461425781,1.0,0.0,0.0,1.0
0155450891101,01554508911,0.14285714285714285,32.0,1.0,11.0,1.0,1.0,643.0824019728352,284.9785461425781,1.0,0.0,0.0,1.0
0155530031101,01555300311,0.0,79.0,0.0,17.0,1.0,0.0,1295.2270914902826,248.56146240234375,0.0,0.0,0.0,1.0
0155530481101,01555304811,0.0,70.0,0.0,3.0,0.0,1.0,931.5055841613895,248.56146240234375,0.0,0.0,0.0,0.0
0155531391101,01555313911,0.8095238095238095,49.0,0.0,13.0,0.0,1.0,1503.518644544116,248.56146240234375,0.0,0.0,0.0,0.0
0155531821101,01555318211,0.047619047619047616,60.0,0.0,11.0,0.0,1.0,1264.8068481474368,248.56146240234375,0.0,0.0,0.0,0.0
0155532031101,01555320311,0.047619047619047616,56.0,0.0,11.0,1.0,1.0,1120.1150814469001,248.56146240234375,0.0,0.0,0.0,1.0
0155550321201,01555503212,0.047619047619047616,67.0,0.0,9.0,1.0,1.0,1880.3129280855812,1172.6197509765625,0.0,0.0,0.0,1.0
