ubigeo,income_2021,pop_2021,nhh_2021,income_2025,pop_2025,nhh_2025,chg_pct,chg_soles
130811,1010.0261526486921,7812.963409423828,8.0,638.49829496771,2501.892578125,4.0,-36.78398393018713,-371.52785768098215
110209,1178.3164135172246,1091.4367561340332,8.0,746.1065296273766,1108.0937576293945,7.0,-36.68029053416304,-432.209883889848
220202,756.0379775177206,22927.38247680664,22.0,479.54581914146206,24444.732223510742,23.0,-36.57119967492346,-276.49215837625854
130808,1679.8738320327795,29328.801513671875,22.0,1067.4766387783843,15904.06771850586,14.0,-36.45495165034783,-612.3971932543952
060810,635.9871062772273,5829.500152587891,8.0,405.16042339583214,10493.449005126953,16.0,-36.294239396227255,-230.8266828813952
100311,1047.0419216768905,6226.051025390625,8.0,672.146083125477,11763.540588378906,15.0,-35.80523671401799,-374.8958385514135
150138,1145.7574417075896,16051.070068359375,4.0,736.2446930682623,11585.51025390625,3.0,-35.74166169315962,-409.51274863932724
060614,874.4347639621542,28157.521087646484,26.0,564.6419146264467,9353.551742553711,14.0,-35.42778284934649,-309.7928493357075
140104,2832.7519858322366,6613.751983642578,6.0,1830.9853149558708,4036.2608489990234,6.0,-35.36372671828014,-1001.7666708763659
020802,1082.8562220133665,5788.5107421875,7.0,701.9798563040845,8125.540283203125,6.0,-35.17330906601012,-380.876365709282
040307,1317.1299216324267,7438.459686279297,16.0,858.8125326661379,6702.858581542969,9.0,-34.796672783673344,-458.3173889662887
160605,718.2718565560292,21253.05699157715,22.0,469.7179474588917,20008.60614013672,28.0,-34.60443379877142,-248.55390909713753
060508,1888.498036694765,2129.3614044189453,9.0,1236.0961981946887,2325.204345703125,6.0,-34.54606919485631,-652.4018385000763
100803,1440.7744583151357,19418.04803466797,14.0,943.0580117933237,31068.397705078125,14.0,-34.545063153316136,-497.71644652181203
130402,1391.5100979148974,31769.279174804688,25.0,914.1538281129147,28126.94207763672,17.0,-34.30490878343429,-477.35626980198276
051101,1187.1307577397731,17502.476196289062,21.0,784.1497884788033,10570.779830932617,13.0,-33.9457946509803,-402.9809692609698
040106,1251.446358168258,4109.883590698242,8.0,828.6105706186074,2320.3033752441406,8.0,-33.78776763300948,-422.8357875496506
140113,1563.048196718701,24295.451400756836,29.0,1042.5475214963612,36605.16833496094,29.0,-33.300359919484514,-520.5006752223399
080807,1460.9295989072436,2462.546173095703,4.0,976.048891208939,4331.561462402344,8.0,-33.18987499883561,-484.8807076983046
050303,1350.931656848989,2928.6206817626953,8.0,902.693905571309,2895.366973876953,8.0,-33.17989840605129,-448.23775127768
140311,1065.9400640395568,17767.865173339844,12.0,712.6839489724379,16424.375213623047,12.0,-33.14033565155589,-353.2561150671189
131202,1785.7321411506648,27160.932586669922,19.0,1194.0984398136782,51814.03747558594,31.0,-33.13115599497235,-591.6337013369866
061004,544.0789743247739,12890.705932617188,16.0,363.9304636912042,5759.719390869141,8.0,-33.110728246233364,-180.14851063356969
180207,2003.953116451702,798.9416046142578,8.0,1341.145378462574,1438.288589477539,14.0,-33.075012211998654,-662.8077379891281
050805,1248.6803026768218,1894.9898529052734,8.0,839.2264381710023,2214.1041564941406,7.0,-32.79092844085591,-409.4538645058195
150141,3513.969279971931,68073.51840209961,37.0,2365.878254474976,64515.378814697266,34.0,-32.67219870249195,-1148.091025496955
150803,1254.5460381425678,5106.694152832031,5.0,845.8655733566201,7771.078125,7.0,-32.57596392325499,-408.6804647859477
020402,1137.4940331404093,3859.226531982422,8.0,767.5311328223712,10939.599365234375,16.0,-32.52438162656901,-369.9629003180381
150906,1092.9010665517362,2143.45108795166,8.0,737.5745367661962,3771.5246810913086,8.0,-32.512231954045724,-355.32652978554006
050115,1491.0477125691925,8019.380661010742,25.0,1007.5890449513909,11749.92593383789,19.0,-32.42409102957304,-483.45866761780167
110114,1189.3016511846308,1709.6824951171875,16.0,805.6693132987333,893.4488410949707,10.0,-32.256941500398305,-383.6323378858975
030502,1126.2713781892892,4800.314788818359,16.0,768.1013332503233,4913.24658203125,15.0,-31.801398124384306,-358.17004493896593
101108,686.3313782623312,5025.394714355469,8.0,468.85135842842305,6102.188903808594,8.0,-31.687319962629257,-217.48001983390816
010206,1042.3313529645734,14906.98469543457,25.0,712.3221731855288,4046.0158920288086,11.0,-31.660678616299954,-330.00917977904464
030402,1763.5450607911348,2512.6295471191406,8.0,1210.575280690482,3315.3971099853516,8.0,-31.355579871182194,-552.9697801006528
090603,868.221524492211,3091.778305053711,8.0,597.4777715440275,2290.4049682617188,6.0,-31.183718130753668,-270.74375294818344
060302,611.3298490304248,8423.424560546875,8.0,421.45552865506903,9138.632629394531,8.0,-31.05922615695902,-189.8743203753558
140306,993.2319828039324,67437.49229431152,60.0,686.7436468906554,56700.57295227051,49.0,-30.857678892704254,-306.48833591327696
030218,919.8530982173426,3508.024856567383,13.0,638.202978853782,3157.5210571289062,8.0,-30.619032529149813,-281.6501193635605
