ym,des_h,des_m,des_joven,des_adulto,des_mayor,ingreso,adecuado_mil,subempleo_mil,pea_ocup_mil
202208,6.0,8.86,14.04,5.93,6.02,1700.26,2859.85,2155.57,5015.42
202209,6.09,9.53,14.99,6.25,6.27,1745.12,2919.69,2063.25,4982.94
202210,5.82,8.76,14.88,5.59,5.93,1770.15,2958.21,2036.03,4994.24
202211,5.76,9.79,15.9,5.73,6.67,1775.96,2989.54,2042.83,5032.37
202212,5.72,8.73,16.39,5.29,5.62,1799.58,2999.39,2085.19,5084.58
202301,6.63,9.57,17.74,5.83,6.4,1803.33,2991.46,2102.28,5093.74
202302,6.29,8.5,16.21,5.71,5.31,1833.17,3048.45,2054.14,5102.59
202303,6.41,8.7,15.66,5.88,5.62,1840.88,3005.18,2119.27,5124.45
202304,6.05,8.24,14.32,5.87,5.35,1872.88,2989.02,2198.85,5187.87
202305,6.03,7.65,14.53,5.62,4.93,1904.95,2947.27,2214.48,5161.75
202306,6.04,7.14,13.85,5.6,4.78,1924.66,3001.48,2214.02,5215.51
202307,5.7,6.9,13.2,5.3,4.7,1936.65,3049.59,2173.76,5223.35
202308,6.04,7.32,13.21,5.73,5.16,1950.61,3082.44,2143.13,5225.57
202309,5.77,7.85,13.34,5.85,5.27,1943.47,3074.27,2134.02,5208.29
202310,5.77,7.45,13.52,5.82,4.81,1954.68,3102.38,2125.17,5227.55
202311,5.11,8.19,12.99,5.32,5.71,1916.22,3062.88,2228.5,5291.38
202312,5.17,7.76,13.98,4.94,5.41,1928.08,3107.17,2212.48,5319.65
202401,5.94,8.59,15.9,5.55,5.72,1926.09,3106.12,2189.33,5295.45
202402,6.5,8.21,16.1,5.85,5.47,1982.31,3153.41,2169.52,5322.93
202403,6.83,8.71,15.48,6.21,6.24,1979.23,3151.07,2208.64,5359.71
202404,6.74,8.77,14.41,6.27,6.71,2006.41,3137.63,2263.52,5401.15
202405,6.36,8.18,14.73,6.06,5.76,2006.82,3158.19,2244.46,5402.66
202406,6.04,7.3,14.3,5.61,5.03,1990.98,3151.32,2309.93,5461.25
202407,5.22,6.79,13.3,4.72,4.87,1998.08,3211.11,2265.18,5476.28
202408,5.47,6.75,13.17,4.66,5.25,2006.91,3245.86,2222.04,5467.9
202409,4.98,7.06,14.55,4.46,4.77,2054.89,3312.28,2149.43,5461.71
202410,5.18,6.42,14.42,4.38,4.44,2075.19,3375.98,2129.02,5505.0
202411,4.79,6.68,13.97,4.6,4.12,2066.93,3428.62,2135.61,5564.23
202412,4.99,6.15,12.84,4.76,4.03,2113.51,3479.13,2075.14,5554.27
202501,5.54,6.87,16.14,5.01,4.09,2126.15,3479.91,1981.31,5461.22
202502,5.39,7.36,17.09,5.0,4.08,2134.33,3495.27,1964.12,5459.4
202503,5.29,8.03,16.45,5.36,4.52,2114.03,3488.47,1960.8,5449.28
202504,4.52,7.53,13.57,5.22,4.18,2102.38,3523.72,1994.67,5518.39
202505,4.83,6.48,12.61,5.11,3.95,2155.04,3530.55,1981.63,5512.18
202506,5.6,7.29,16.93,4.72,5.0,2172.05,3555.75,1925.62,5481.38
202507,5.52,6.69,16.36,4.35,4.86,2211.58,3629.12,1933.75,5562.87
202508,5.37,6.72,15.6,4.18,5.13,2249.56,3682.72,1939.17,5621.89
202509,4.24,7.51,13.94,4.64,4.54,2293.91,3736.43,1937.53,5673.95
202510,4.5,7.6,16.22,4.66,4.32,2311.49,3800.89,1918.47,5719.36
202511,4.61,7.42,16.38,4.61,4.36,2242.56,3796.55,2000.09,5796.64
202512,5.02,4.95,13.94,3.95,3.54,2291.02,3865.28,2015.37,5880.65
202601,6.45,6.2,14.22,5.89,4.42,2288.14,3775.1,1959.72,5734.82
202602,6.44,6.28,13.49,5.79,4.72,2287.0,3769.38,1946.92,5716.3
202603,5.93,7.92,13.66,6.26,5.29,2239.79,3719.72,1982.76,5702.48
202604,4.14,6.67,11.29,4.21,4.75,2256.6,3798.7,2054.5,5853.3
202605,3.56,6.59,11.01,3.87,4.49,2317.4,3868.0,2011.9,5880.0
