anio,origen,destino,personas,n
2020,Lima,Puno,4872,11
2020,Amazonas,Lambayeque,4856,22
2020,Lima,Cajamarca,4811,11
2020,Pasco,Huanuco,4743,14
2020,San Martin,Lima,4581,7
2020,Loreto,San Martin,4550,33
2020,La Libertad,Lima,4505,14
2020,Puno,Lima,4070,5
2020,Pasco,Junin,3953,8
2020,Lima,Huancavelica,3938,30
2020,Cajamarca,Piura,3692,10
2020,Cusco,Puno,3625,8
2020,Huanuco,Ucayali,3325,26
2020,Ucayali,Loreto,3272,19
2020,Huancavelica,Junin,3137,16
2020,Tacna,Puno,3088,7
2020,Lambayeque,Ancash,3085,6
2020,San Martin,Lambayeque,2967,9
2020,La Libertad,Piura,2841,10
2020,Huancavelica,Ica,2671,19
2020,Junin,Huancavelica,2605,20
2020,Arequipa,Puno,2556,10
2020,La Libertad,San Martin,2538,14
2020,Cajamarca,Amazonas,2522,20
2020,Ica,Huancavelica,2440,18
2020,Lambayeque,Amazonas,2324,20
2020,Lambayeque,Piura,2207,6
2020,San Martin,Loreto,2129,13
2020,Loreto,La Libertad,2076,5
2020,Lambayeque,Lima,2026,5
2020,Junin,Ica,2004,8
2020,Moquegua,Arequipa,1986,4
2020,Arequipa,Moquegua,1978,31
2020,Ucayali,Junin,1955,11
2020,Arequipa,Tacna,1948,20
2020,Huancavelica,Lima,1861,2
2020,San Martin,Huanuco,1850,11
2020,La Libertad,Cajamarca,1771,6
2020,Cajamarca,San Martin,1760,12
2020,Ayacucho,Ica,1731,11
2020,Ica,Piura,1708,4
2020,Ica,Arequipa,1698,9
2020,San Martin,Amazonas,1697,19
2020,Piura,La Libertad,1682,3
2020,Piura,Lambayeque,1681,6
2020,Loreto,Huanuco,1634,10
2020,Apurimac,Junin,1632,7
2020,Arequipa,Ayacucho,1617,4
2020,Huanuco,San Martin,1585,14
2020,Lambayeque,San Martin,1577,10
2020,Ayacucho,Junin,1571,8
2020,Puno,Moquegua,1554,22
2020,Ucayali,Huanuco,1550,11
