prov,income_2021,pop_2021,nhh_2021,income_2025,pop_2025,nhh_2025,chg_pct,chg_soles
0905,481.7111345847499,27908.60546875,55.0,588.5231038349299,52017.71911621094,100.0,22.173448272532713,106.81196925017997
1310,790.551357015447,36797.453125,49.0,966.2641655598306,41054.62023925781,46.0,22.226615258463255,175.71280854438362
1507,967.7041107964457,72184.5078125,146.0,1194.0713675541856,55666.300369262695,120.0,23.39219749427681,226.36725675773994
0901,815.9188942191163,182437.40625,363.0,1009.5567829852873,177289.21433639526,306.0,23.732492302619647,193.63788876617105
2101,924.6952107845756,225904.5,225.0,1144.5234642212001,271977.6060781479,235.0,23.773049851756767,219.82825343662455
2205,891.5885538659387,113072.1171875,105.0,1110.8079355682248,94321.3363571167,105.0,24.587505161629576,219.2193817022861
2207,1070.1031972933906,54364.39453125,68.0,1335.6008873402463,59893.85929107666,70.0,24.8104753558702,265.4976900468557
0808,909.2645160915966,132311.296875,92.0,1136.306501915119,126436.87078857422,98.0,24.96985000574363,227.0419858235224
0220,704.4110893630987,45578.671875,59.0,881.8810077564287,61839.604316711426,85.0,25.194083550528923,177.4699183933301
0212,1156.690397147919,45641.07421875,62.0,1460.8947222563945,56544.7370300293,62.0,26.299546175758003,304.2043251084756
2112,513.6533831483495,56773.18359375,46.0,648.7593275537138,42841.98068237305,44.0,26.30294062841674,135.1059444053643
0604,946.5830238838464,175737.3125,156.0,1199.8075814331512,191853.10720825195,179.0,26.751436605140032,253.2245575493048
0402,1174.0009042219356,29987.154296875,69.0,1490.160324256368,36402.49814605713,72.0,26.93008317944745,316.1594200344325
0612,582.3618319775934,49444.0703125,42.0,739.6529668871298,25066.82489013672,28.0,27.009176472881926,157.29113490953637
2304,735.6735434182896,11332.4853515625,54.0,935.5145523392752,15060.992065429688,57.0,27.164359886102353,199.8410089209856
0902,536.118927535375,52382.875,104.0,681.9051450214233,63339.116287231445,123.0,27.192887622201866,145.78621748604837
1901,857.6471146046792,180632.921875,468.0,1092.7306920647388,183853.3368139267,433.0,27.41029188542401,235.0835774600596
0504,772.6156379683908,91585.28125,148.0,995.1802561436391,94790.02431106567,147.0,28.806641651790365,222.56461817524826
2106,660.699669745133,64972.36328125,69.0,853.7695247276067,91525.13357543945,76.0,29.222029890971648,193.06985498247377
